Job Title,Salary,Requirements,Company,Location,Industry,Company Size,Education,Job Type,Posted Date,Job Link
AGRICULTURIST,Salary not specified,"With Eligiblewith complete reuirementswith NBI, POLICE, Brgy clearance",COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/agriculturist-1042678
CLINICAL INSTRUCTOR,Salary not specified,MSN holder; with clinical/hospital experience,UNIVERSITY OF SAINT LOUIS TUGUEGARAO INC.,"TUGUEGARAO CITY (CAPITAL), CAGAYAN",EDUCATION,200 and over (Large),MASTERAL/POST GRADUATE LEVEL,Contractual,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/clinical-instructor-1042670
BOOKKEEPING CLERK,Salary not specified,With NBICollege graduateWith book keeping experienceWith complete benifits requirements,COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),VOCATIONAL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/bookkeeping-clerk-1042665
PROCESS ENGINEER,"₱17,000.00","QUALIFICATIONS:- Bachelors in Electronics Communication Engineering Graduate- With at least 1-year experience in a manufacturing company.- Computer literate, - Bachelors in Electronics Communication Engineering Graduate, - With at least 1-year experience in a manufacturing company., - Computer literate",GEMPHIL TECHNOLOGIES INC.,"CABUYAO, LAGUNA",MANUFACTURING,200 and over (Large),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/process-engineer-1042663
SALES CLERK,Salary not specified,"With NBI, Police, BrgyComplete benifits requirements",COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),HIGH SCHOOL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-clerk-1042662
PROCESS ENGINEER,Salary not specified,"Must be graduates of BS Chemical Engineering course.Eight (8) years minimum experience in process engineering design work gained in an oil & gas or related industry.Can prepare drawings such as Process Flow Diagram, Utility Flow Diagram, Piping and Instrument Diagram.Can perform heat and material balance calculations and hydraulic calculations.Able to do Equipment Sizing.Able to design Process Safety Systems.Can prepare Equipment, Instrument and Piping Process Data Sheets., ",JGC PHILIPPINES INC,"CITY OF MUNTINLUPA, NCR, FOURTH DISTRICT",CONSTRUCTION,200 and over (Large),COLLEGE GRADUATE,Project-based,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/process-engineer-1042659
STAFF OFFICER (AFP),"₱12,000.00","• Outstanding interpersonal skills.• Excellent organizational skills and attention to detail.• Demonstrated knowledge of Employment Law Exceptional Verbal and Written Communication skills• Good problem-solving ability.• College Graduate / College level• Willing to do field and Travel• Physically Fit with or Without experience but with EXPERIENCE is a PLUS• Expert in making documents (EXCEL, MICROSOFT WORD, POWERPOINT), • Excellent organizational skills and attention to detail., • Demonstrated knowledge of Employment Law Exceptional Verbal and Written Communication skills, • Good problem-solving ability., • College Graduate / College level, • Willing to do field and Travel, • Physically Fit with or Without experience but with EXPERIENCE is a PLUS, • Expert in making documents (EXCEL, MICROSOFT WORD, POWERPOINT)",AUDIONET - AXIS TELECOMM INC.,"ILOILO CITY (CAPITAL), ILOILO",WHOLESALE AND RETAIL TRADE,1 - 9 (Micro),1ST YEAR COLLEGE LEVEL,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/staff-officer-afp-1042658
FORWARDING AGENT,Salary not specified,With NBIPolice clearanceBrgy clearance,COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),ELEMENTARY GRADUATE,Contractual,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/forwarding-agent-1042657
GRAPHIC ARTIST,Salary not specified,"Qualifications and Skills:Preferably with experience in Printing/Advertising companyFamiliarity with design software and technologies.A strong portfolio of illustration or other graphics.Ability to work methodically and meet deadlines.Ability to work independently with minimum supervision.Excellent Communication skillsMust be detail oriented., , Preferably with experience in Printing/Advertising company, Familiarity with design software and technologies., A strong portfolio of illustration or other graphics., Ability to work methodically and meet deadlines., Ability to work independently with minimum supervision., Excellent Communication skills, Must be detail oriented.",MTC ADS AND GENERAL MERCHANDISE,"CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),HIGH SCHOOL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/graphic-artist-1042653
SALES ASSOCIATE PROFESSIONAL,"₱12,000.00","- High School Graduate or College Level of Any Course- Male / Female- Preferably have at least 6 months experience in Selling, but not necessary and,- With pleasing personality,, - Male / Female, - Preferably have at least 6 months experience in Selling, but not necessary and,, - With pleasing personality,, ",AUDIONET - AXIS TELECOMM INC.,"ILOILO CITY (CAPITAL), ILOILO",WHOLESALE AND RETAIL TRADE,1 - 9 (Micro),HIGH SCHOOL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-associate-professional-1042652
REFRIGERATION AND AIRCONDITIONING TECHNICIAN,Salary not specified,"Must willing to on callMust willing to do go far placeWith NBI, Police",COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),ELEMENTARY GRADUATE,Contractual,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/refrigeration-and-airconditioning-technician-1042650
ACCOUNTING ASSISTANT,Salary not specified,"Must have Bachelor’s\College degree (e.g., Accountancy, Management Accounting, Financial Management, and Accounting Technology)Knowledge of an accounting information system is a plusProficiency in MS Word & ExcelSkilled in dealing with financial and numeric dataHigh degree of attention to detail and multi-taskingStrong time management and organizational skillsAbility to work independently and prioritize tasksOwnership and pride in work productCan handle pressure, Knowledge of an accounting information system is a plus, Proficiency in MS Word & Excel, Skilled in dealing with financial and numeric data, High degree of attention to detail and multi-tasking, Strong time management and organizational skills, Ability to work independently and prioritize tasks, Ownership and pride in work product, Can handle pressure",MTC ADS AND GENERAL MERCHANDISE,"CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/accounting-assistant-1042649
SALES EXECUTIVE,"₱13,000.00","Qualifications and Skills:· Graduate of any 4-year Course, preferably business related.· Excellent communication skills· Knowledgeable in Microsoft office· Excellent customer service and sale skills· Ability to adapt and grow in a competitive environment· Fast learner and quick thinker· Good negotiation and problem solving skills· Keen attention to detail and ability to keep records and files organized· Strong time management and organizational skills, · Graduate of any 4-year Course, preferably business related., · Excellent communication skills, · Knowledgeable in Microsoft office, · Excellent customer service and sale skills, · Ability to adapt and grow in a competitive environment, · Fast learner and quick thinker, · Good negotiation and problem solving skills, · Keen attention to detail and ability to keep records and files organized, · Strong time management and organizational skills",MTC ADS AND GENERAL MERCHANDISE,"CITY OF SAN FERNANDO (CAPITAL), PAMPANGA",WHOLESALE AND RETAIL TRADE,10 - 99 (Small),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/sales-executive-1042646
INFORMATION TECHNOLOGY (IT) SPECIALIST,"₱12,000.00","- Must be Male- BS/BA in computer science, IT or relevant field- Proven ability to troubleshoot hardware, software, and network issues quickly and effectively- Critical thinking skills and an analytical mind with strong problem-solving abilities.- Routine system maintenance, backing up systems and applications and,- At least with experience-willing to be assign in MOLO ILOILO, - BS/BA in computer science, IT or relevant field, - Proven ability to troubleshoot hardware, software, and network issues quickly and effectively, - Critical thinking skills and an analytical mind with strong problem-solving abilities., - Routine system maintenance, backing up systems and applications and,, - At least with experience, -willing to be assign in MOLO ILOILO",AUDIONET - AXIS TELECOMM INC.,"ILOILO CITY (CAPITAL), ILOILO",WHOLESALE AND RETAIL TRADE,1 - 9 (Micro),COLLEGE GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/information-technology-it-specialist-1042644
OFFICE CLERK,Salary not specified,"Must be High school graduates or college level/ graduateMust have complete benifitsNBI, Police, Brgy Clearance",COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),VOCATIONAL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/office-clerk-1042642
LIAISON ASSISTANT,Salary not specified,College level/ Vocational course graduate.With driving skills; with a valid driver's license.Preferably knowledgeable in LTO processing and compliance.Experience in the same field is an advantage.Good verbal and written communication skills.,NXT MILE MOTOR INC.,"KAWIT, CAVITE","TRANSPORT, STORAGE AND COMMUNICATION",100 - 199 (Medium),VOCATIONAL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/liaison-assistant-1042641
BAKER (GENERAL),Salary not specified,With complete requirementsHealth CardNBIPoliceBrgy clearance,COUNTERPART RESOURCE MULTI-PURPOSE COOPERATIVE,"BUTUAN CITY (CAPITAL), AGUSAN DEL NORTE","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",10 - 99 (Small),GRADE XI (FOR K TO 12),Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/baker-general-1042634
MESSENGER,Salary not specified,"FOR MOTORIZED MESSENGER:High school diploma is preferred.Previous experience in any delivery position.Valid driver's license and have own motorcycle.Familiarity with the layout of your general delivery area.Ability to manage multiple tasks within given time frames.Availability to work evenings, weekends, and public holidays.FOR FOOT MESSENGER:High school diploma is preferred.Previous experience in any delivery position.Familiarity with the layout of your general delivery area.(Metro Manila).Physically agile with the capacity to remain active for extended periods.Availability to work evenings, weekends, and public holidays., Previous experience in any delivery position., Valid driver's license and have own motorcycle., Familiarity with the layout of your general delivery area., Ability to manage multiple tasks within given time frames., Availability to work evenings, weekends, and public holidays.FOR FOOT MESSENGER:High school diploma is preferred., Previous experience in any delivery position., Familiarity with the layout of your general delivery area.(Metro Manila)., Physically agile with the capacity to remain active for extended periods., Availability to work evenings, weekends, and public holidays.",DIAR'S ASSISTANCE INCORPORATED,"CITY OF MANDALUYONG, NCR, SECOND DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),HIGH SCHOOL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/messenger-1042633
COMPANY DRIVER,Salary not specified,At least 2 years experience as a Driver / Expat DriverProfessional driver's licenseAt least High School GraduateComplete requirements - NBI / Police Clearance,DIAR'S ASSISTANCE INCORPORATED,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),HIGH SCHOOL GRADUATE,Job type not specified,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/company-driver-1042632
ELECTRO MECHANICAL TECHNICIAN,Salary not specified,"With at least 2yrs. experience in motor control and repairKnowledgeable in PLC SystemCollege level or High school graduateWilling to be assigned within Metro Manila AreasCan start immediately, , ",DIAR'S ASSISTANCE INCORPORATED,"CITY OF MAKATI, NCR, FOURTH DISTRICT","OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICE ACTIVITIES",200 and over (Large),VOCATIONAL GRADUATE,Permanent,6 June 2024,https://philjobnet.gov.ph/job-vacancies/job/electro-mechanical-technician-1042631
